wrote reports/balance_r1_3v3.md
# Balance report (3v3) — 20000 battles

AI: heuristic vs heuristic, team size 3, avg turns 14.7, ties 52

## Per-species (team-inclusion win rate)
| species | 種族 | games | team win% | avg dmg/game | KOs/game | faint% | first-move% | status |
|---|---|---|---|---|---|---|---|---|
| renny_r | レニィ（リージョン） | 6368 | 64.2 | 249 | 1.13 | 51 | 65 | HIGH |
| honebami | ほねばみ | 6318 | 63.2 | 249 | 1.03 | 58 | 77 | HIGH |
| hyu | ヒュウ | 6379 | 60.9 | 204 | 0.96 | 61 | 77 | HIGH |
| gel | ゲル | 6311 | 59.7 | 214 | 1.00 | 55 | 64 | HIGH |
| namazuo | なまずお | 6222 | 59.1 | 207 | 0.82 | 63 | 74 | HIGH |
| jinpachi | ジンパチ | 6298 | 58.5 | 176 | 0.80 | 77 | 74 | HIGH |
| hyu_r | ヒュウ（リージョン） | 6349 | 58.3 | 185 | 0.93 | 60 | 74 | HIGH |
| gel_r_poison | ゲル（毒） | 6396 | 55.4 | 189 | 0.50 | 50 | 18 | OK |
| renny | レニィ | 6239 | 50.7 | 175 | 0.54 | 63 | 50 | OK |
| gel_r_dark | ゲル（悪） | 6321 | 47.5 | 134 | 0.40 | 60 | 40 | OK |
| trans | トランス | 6292 | 47.2 | 126 | 0.54 | 73 | 39 | OK |
| trans_r | トランス（リージョン） | 6417 | 44.5 | 120 | 0.43 | 71 | 57 | OK |
| jinpachi_r | ジンパチ（リージョン） | 6359 | 43.6 | 131 | 0.46 | 73 | 13 | OK |
| neo | ネオ | 6333 | 40.5 | 102 | 0.39 | 70 | 52 | LOW |
| muni_r_dragon | ムニ（竜） | 6226 | 39.9 | 83 | 0.27 | 70 | 36 | LOW |
| marutan | マルタン | 6267 | 39.4 | 87 | 0.21 | 66 | 23 | LOW |
| muni_r_bug | ムニ（虫） | 6340 | 38.8 | 84 | 0.29 | 66 | 78 | LOW |
| muni_r_normal | ムニ（ノ） | 6315 | 38.1 | 93 | 0.20 | 68 | 59 | LOW |
| muni | ムニ | 6250 | 37.6 | 98 | 0.25 | 69 | 65 | LOW |

## Per-set
| set | games | win% |
|---|---|---|
| renny_r/band | 2133 | 70.4 |
| hyu/specs | 2089 | 66.4 |
| honebami/unburden_acro | 2122 | 64.8 |
| renny_r/bulk_up | 2180 | 64.4 |
| gel/specs | 2104 | 64.4 |
| namazuo/band | 2071 | 64.0 |
| honebami/band | 2122 | 63.2 |
| hyu/nasty_plot | 2142 | 62.1 |
| honebami/sash_sd | 2074 | 61.7 |
| jinpachi/scarf | 2071 | 60.6 |
| hyu_r/specs | 2053 | 59.6 |
| jinpachi/band | 2139 | 59.6 |
| gel/calm_mind | 2130 | 58.9 |
| hyu_r/sub_seed | 2122 | 58.9 |
| namazuo/scarf | 2117 | 58.6 |
| renny_r/wish | 2055 | 57.5 |
| gel_r_poison/coil | 2145 | 56.9 |
| hyu_r/lo | 2174 | 56.5 |
| gel/veil | 2077 | 55.8 |
| gel_r_poison/tspikes | 2109 | 55.4 |
| jinpachi/sd_lo | 2088 | 55.4 |
| renny/band | 2159 | 54.7 |
| namazuo/sd_lo | 2034 | 54.7 |
| hyu/wisp_hex | 2148 | 54.2 |
| gel_r_poison/wall | 2142 | 53.9 |
| renny/rest_talk | 2009 | 52.9 |
| gel_r_dark/np | 2167 | 50.7 |
| trans_r/calm_mind | 2187 | 50.1 |
| trans/band | 2105 | 49.2 |
| gel_r_dark/pivot | 2092 | 49.1 |
| jinpachi_r/band | 2118 | 48.6 |
| trans/sd_lo | 2092 | 47.4 |
| marutan/defog_wall | 2064 | 47.2 |
| muni_r_dragon/mixed | 2065 | 46.9 |
| muni_r_bug/quiver | 2120 | 45.6 |
| trans/rocks | 2095 | 45.1 |
| renny/yawn_pivot | 2071 | 44.4 |
| trans_r/scarf | 2140 | 43.7 |
| muni_r_normal/stall | 2125 | 43.6 |
| neo/scarf | 2080 | 43.5 |
| jinpachi_r/sd_wp | 2115 | 42.8 |
| gel_r_dark/taunt | 2062 | 42.4 |
| neo/eviolite_sd | 2172 | 41.3 |
| jinpachi_r/rocks_tank | 2126 | 39.4 |
| trans_r/sd_
